id,DataID,ClassName,datatype,uniqueid,name,latitude,longitude
2988,201,School,SCH,SCH201,GGPS FATEH JANG NO.3,33.56881142,72.64722347
2989,202,School,SCH,SCH202,GGPS SADQAL (AJJUWALA),33.57531309,72.62824953
2990,203,School,SCH,SCH203,GMPS AJUWALA,33.59599113,72.60373196
2991,204,School,SCH,SCH204,GMPS MAQAM KALAN,33.64536703,72.55068004
2992,205,School,SCH,SCH205,GMPS PIND NIAZI,33.67839923,72.53078186
2993,206,School,SCH,SCH206,GES BHAL SYEDAN,33.56832445,72.58236676
2994,207,School,SCH,SCH207,GES DHOK SEELO,33.53104591,72.67661512
2995,208,School,SCH,SCH208,GES TAJA BARA,33.49827354,72.63642065
2996,209,School,SCH,SCH209,GPS BADRA,33.56627405,72.69650102
2997,210,School,SCH,SCH210,GPS CHASAN WALI DHARI,33.55658054,72.6316452
2998,211,School,SCH,SCH211,GPS DHOK BAGHAN,33.57149226,72.71288681
2999,212,School,SCH,SCH212,GPS DHOK SYEDAN (F.JANG),33.52460476,72.64439609
3000,213,School,SCH,SCH213,GPS FATEH JANG NO.2,33.56752932,72.64950871
3001,214,School,SCH,SCH214,GPS KHOUR ROAD FATEH JANG,33.56489539,72.64308751
3002,215,School,SCH,SCH215,GPS MAJHIA,33.4944779,72.65656114
3003,216,School,SCH,SCH216,GPS MIAN NOOR FATEH JANG,33.56579695,72.65741011
3004,217,School,SCH,SCH217,GPS STATION ABADI FATEH JANG,33.58067274,72.64316727
3005,218,School,SCH,SCH218,GPS TEHSIL ROAD FATEH JANG NO.1,33.56394585,72.64883572
3006,219,School,SCH,SCH219,GGES DHARI RAI DITTA,33.42245912,72.73994756
3007,220,School,SCH,SCH220,GGES PHAMRA JAGIR,33.41714453,72.70232709
3008,221,School,SCH,SCH221,GGPS DHOK MOND,33.43754972,72.57387851
3009,222,School,SCH,SCH222,GGPS DHOK RAI NAIKA,33.50511042,72.60311607
3010,223,School,SCH,SCH223,GGPS HASTAL,33.51685027,72.63088659
3011,224,School,SCH,SCH224,GGPS ISMAIL,33.43714268,72.55786224
3012,225,School,SCH,SCH225,GGPS LANI WALA,33.45658887,72.53919791
3013,226,School,SCH,SCH226,GGPS MAJHIA,33.49278489,72.65648292
3014,227,School,SCH,SCH227,GGPS PHAMRA KHLSA,33.41605295,72.69313429
